
20210419,주간권,어른,2,67200,장애인
20210419,주간권,어른,3,100800,장애인
20210419,주간권,어른,3,100800,장애인
20210419,야간권,어린이,5,111000,장애인
20210419,주간권,어른,3,100800,장애인
20210419,야간권,어린이,5,111000,장애인
20210419,야간권,어른,3,82800,장애인
20210419,주간권,어른,3,100800,장애인
20210419,야간권,어린이,5,111000,장애인
20210419,야간권,어른,3,82800,장애인
20210419,야간권,어린이,2,37000,국가유공자
20210419,야간권,노인,3,111000,없음
20210419,야간권,노인,3,111000,없음
20210419,주간권,유아,5,0,국가유공자
20210419,야간권,노인,3,111000,없음
20210419,주간권,유아,5,0,국가유공자
20210419,주간권,노인,3,0,다자녀
20210419,야간권,노인,3,111000,없음
20210419,주간권,유아,5,0,국가유공자
20210419,주간권,노인,3,0,다자녀
20210419,야간권,어른,9,414000,없음
